numero_experimento;dataset;estructura_de_datos;clave;cantidad_consultas;tiempo_ejecucion
2;auspol2019;hash_cerrado_double;user_id;90000;0.006957200
2;auspol2019;hash_cerrado_double;user_id;100000;0.007291100
2;auspol2019;hash_cerrado_double;user_id;110000;0.007614600
2;auspol2019;hash_cerrado_double;user_id;120000;0.007961900
2;auspol2019;hash_cerrado_double;user_id;130000;0.008286900
2;auspol2019;hash_cerrado_double;user_id;140000;0.008598500
2;auspol2019;hash_cerrado_double;user_id;150000;0.008985200
2;auspol2019;hash_cerrado_double;user_id;160000;0.009502800
2;auspol2019;hash_cerrado_double;user_id;170000;0.010177900
2;auspol2019;hash_cerrado_double;user_id;180000;0.010612800
2;auspol2019;hash_cerrado_double;screen_name;10000;0.002264400
2;auspol2019;hash_cerrado_double;screen_name;20000;0.004924500
2;auspol2019;hash_cerrado_double;screen_name;30000;0.005697200
2;auspol2019;hash_cerrado_double;screen_name;40000;0.006370600
2;auspol2019;hash_cerrado_double;screen_name;50000;0.007061000
2;auspol2019;hash_cerrado_double;screen_name;60000;0.012301900
2;auspol2019;hash_cerrado_double;screen_name;70000;0.013072800
2;auspol2019;hash_cerrado_double;screen_name;80000;0.013817500
2;auspol2019;hash_cerrado_double;screen_name;90000;0.014461700
2;auspol2019;hash_cerrado_double;screen_name;100000;0.015078200
2;auspol2019;hash_cerrado_double;screen_name;110000;0.015670300
2;auspol2019;hash_cerrado_double;screen_name;120000;0.016259700
2;auspol2019;hash_cerrado_double;screen_name;130000;0.016843200
2;auspol2019;hash_cerrado_double;screen_name;140000;0.017401500
2;auspol2019;hash_cerrado_double;screen_name;150000;0.018047200
2;auspol2019;hash_cerrado_double;screen_name;160000;0.018787900
2;auspol2019;hash_cerrado_double;screen_name;170000;0.019464500
2;auspol2019;hash_cerrado_double;screen_name;180000;0.020072300
2;auspol2019;unordered_map;user_id;10000;0.001009100
2;auspol2019;unordered_map;user_id;20000;0.001891500
2;auspol2019;unordered_map;user_id;30000;0.002554100
2;auspol2019;unordered_map;user_id;40000;0.003398400
2;auspol2019;unordered_map;user_id;50000;0.003853900
2;auspol2019;unordered_map;user_id;60000;0.004468800
2;auspol2019;unordered_map;user_id;70000;0.004936900
2;auspol2019;unordered_map;user_id;80000;0.005428900
2;auspol2019;unordered_map;user_id;90000;0.005853900
2;auspol2019;unordered_map;user_id;100000;0.006252500
2;auspol2019;unordered_map;user_id;110000;0.006653500
2;auspol2019;unordered_map;user_id;120000;0.007029900
2;auspol2019;unordered_map;user_id;130000;0.007431600
2;auspol2019;unordered_map;user_id;140000;0.007777600
2;auspol2019;unordered_map;user_id;150000;0.008258500
2;auspol2019;unordered_map;user_id;160000;0.008809800
2;auspol2019;unordered_map;user_id;170000;0.009952300
2;auspol2019;unordered_map;user_id;180000;0.010258400
2;auspol2019;unordered_map;screen_name;10000;0.001511000
2;auspol2019;unordered_map;screen_name;20000;0.003013500
2;auspol2019;unordered_map;screen_name;30000;0.004044200
2;auspol2019;unordered_map;screen_name;40000;0.005305300
2;auspol2019;unordered_map;screen_name;50000;0.006115300
2;auspol2019;unordered_map;screen_name;60000;0.006974900
2;auspol2019;unordered_map;screen_name;70000;0.007829200
2;auspol2019;unordered_map;screen_name;80000;0.008706500
2;auspol2019;unordered_map;screen_name;90000;0.009501500
2;auspol2019;unordered_map;screen_name;100000;0.010231900
2;auspol2019;unordered_map;screen_name;110000;0.010987700
2;auspol2019;unordered_map;screen_name;120000;0.011704100
2;auspol2019;unordered_map;screen_name;130000;0.012468200
2;auspol2019;unordered_map;screen_name;140000;0.013140500
2;auspol2019;unordered_map;screen_name;150000;0.013971600
2;auspol2019;unordered_map;screen_name;160000;0.014898900
2;auspol2019;unordered_map;screen_name;170000;0.017083600
2;auspol2019;unordered_map;screen_name;180000;0.018387600
3;auspol2019;hash_abierto;user_id;10000;0.001971600
3;auspol2019;hash_abierto;user_id;20000;0.003969800
3;auspol2019;hash_abierto;user_id;30000;0.004507100
3;auspol2019;hash_abierto;user_id;40000;0.004948900
3;auspol2019;hash_abierto;user_id;50000;0.005377200
3;auspol2019;hash_abierto;user_id;60000;0.007881900
3;auspol2019;hash_abierto;user_id;70000;0.008235900
3;auspol2019;hash_abierto;user_id;80000;0.008601800
3;auspol2019;hash_abierto;user_id;90000;0.008938800
3;auspol2019;hash_abierto;user_id;100000;0.009256500
3;auspol2019;hash_abierto;user_id;110000;0.009534500
3;auspol2019;hash_abierto;user_id;120000;0.009814300
3;auspol2019;hash_abierto;user_id;130000;0.010115600
3;auspol2019;hash_abierto;user_id;140000;0.010377600
3;auspol2019;hash_abierto;user_id;150000;0.010834500
3;auspol2019;hash_abierto;user_id;160000;0.011523400
3;auspol2019;hash_abierto;user_id;170000;0.012187700
3;auspol2019;hash_abierto;user_id;180000;0.012613300
3;auspol2019;hash_abierto;screen_name;10000;0.002900700
3;auspol2019;hash_abierto;screen_name;20000;0.005147500
3;auspol2019;hash_abierto;screen_name;30000;0.006089800
3;auspol2019;hash_abierto;screen_name;40000;0.006837400
3;auspol2019;hash_abierto;screen_name;50000;0.007601200
3;auspol2019;hash_abierto;screen_name;60000;0.011615200
3;auspol2019;hash_abierto;screen_name;70000;0.012503500
3;auspol2019;hash_abierto;screen_name;80000;0.013422000
3;auspol2019;hash_abierto;screen_name;90000;0.014221800
3;auspol2019;hash_abierto;screen_name;100000;0.014941700
3;auspol2019;hash_abierto;screen_name;110000;0.015538700
3;auspol2019;hash_abierto;screen_name;120000;0.016155600
3;auspol2019;hash_abierto;screen_name;130000;0.016818000
3;auspol2019;hash_abierto;screen_name;140000;0.017371300
3;auspol2019;hash_abierto;screen_name;150000;0.018133800
3;auspol2019;hash_abierto;screen_name;160000;0.018984500
3;auspol2019;hash_abierto;screen_name;170000;0.019729400
3;auspol2019;hash_abierto;screen_name;180000;0.020381900
3;auspol2019;hash_cerrado_linear;user_id;10000;0.000966800
3;auspol2019;hash_cerrado_linear;user_id;20000;0.001829400
3;auspol2019;hash_cerrado_linear;user_id;30000;0.002164800
3;auspol2019;hash_cerrado_linear;user_id;40000;0.002496400
3;auspol2019;hash_cerrado_linear;user_id;50000;0.002845700
3;auspol2019;hash_cerrado_linear;user_id;60000;0.004565200
3;auspol2019;hash_cerrado_linear;user_id;70000;0.004861200
3;auspol2019;hash_cerrado_linear;user_id;80000;0.005135500
3;auspol2019;hash_cerrado_linear;user_id;90000;0.005386900
3;auspol2019;hash_cerrado_linear;user_id;100000;0.005622200
3;auspol2019;hash_cerrado_linear;user_id;110000;0.005859700
3;auspol2019;hash_cerrado_linear;user_id;120000;0.006084700
3;auspol2019;hash_cerrado_linear;user_id;130000;0.006316500
3;auspol2019;hash_cerrado_linear;user_id;140000;0.006536200
3;auspol2019;hash_cerrado_linear;user_id;150000;0.006803600
3;auspol2019;hash_cerrado_linear;user_id;160000;0.007131400
3;auspol2019;hash_cerrado_linear;user_id;170000;0.007434300
3;auspol2019;hash_cerrado_linear;user_id;180000;0.007691300
3;auspol2019;hash_cerrado_linear;screen_name;10000;0.001997700
3;auspol2019;hash_cerrado_linear;screen_name;20000;0.004215100
3;auspol2019;hash_cerrado_linear;screen_name;30000;0.004906900
3;auspol2019;hash_cerrado_linear;screen_name;40000;0.005451300
3;auspol2019;hash_cerrado_linear;screen_name;50000;0.006004500
3;auspol2019;hash_cerrado_linear;screen_name;60000;0.009530700
3;auspol2019;hash_cerrado_linear;screen_name;70000;0.010152800
3;auspol2019;hash_cerrado_linear;screen_name;80000;0.010892600
3;auspol2019;hash_cerrado_linear;screen_name;90000;0.011435300
3;auspol2019;hash_cerrado_linear;screen_name;100000;0.012002500
3;auspol2019;hash_cerrado_linear;screen_name;110000;0.012486200
3;auspol2019;hash_cerrado_linear;screen_name;120000;0.012957300
3;auspol2019;hash_cerrado_linear;screen_name;130000;0.013421200
3;auspol2019;hash_cerrado_linear;screen_name;140000;0.013863700
3;auspol2019;hash_cerrado_linear;screen_name;150000;0.014399400
